step,rabbit_population,fox_population
0,6003.8219040000,2862.0050650000
1,6195.6214660000,2783.3649190000
2,6390.6566610000,2708.2582430000
3,6588.7472150000,2636.5396260000
4,6789.7004420000,2568.0693620000
5,6993.3117780000,2502.7132290000
6,7199.3654220000,2440.3422790000
7,7407.6350660000,2380.8326340000
8,7617.8847130000,2324.0652890000
9,7829.8695780000,2269.9259230000
10,8043.3370640000,2218.3047210000
11,8258.0278020000,2169.0961940000
12,8473.6767550000,2122.1990170000
13,8690.0143690000,2077.5158640000
14,8906.7677600000,2034.9532570000
15,9123.6619350000,1994.4214140000
16,9340.4210310000,1955.8341080000
17,9556.7695570000,1919.1085320000
18,9772.4336370000,1884.1651660000
19,9987.1422420000,1850.9276530000
20,10200.6283920000,1819.3226750000
21,10412.6303290000,1789.2798400000
22,10622.8926450000,1760.7315710000
23,10831.1673590000,1733.6129970000
24,11037.2149340000,1707.8618530000
25,11240.8052270000,1683.4183790000
26,11441.7183610000,1660.2252280000
27,11639.7455240000,1638.2273740000
28,11834.6896760000,1617.3720270000
29,12026.3661720000,1597.6085440000
30,12214.6032920000,1578.8883540000
31,12399.2426780000,1561.1648780000
32,12580.1396710000,1544.3934540000
33,12757.1635600000,1528.5312660000
34,12930.1977320000,1513.5372750000
35,13099.1397340000,1499.3721510000
36,13263.9012360000,1485.9982120000
37,13424.4079180000,1473.3793560000
38,13580.5992710000,1461.4810100000
39,13732.4283150000,1450.2700630000
40,13879.8612530000,1439.7148190000
41,14022.8770550000,1429.7849380000
42,14161.4669830000,1420.4513830000
43,14295.6340650000,1411.6863760000
44,14425.3925180000,1403.4633440000
45,14550.7671390000,1395.7568760000
46,14671.7926610000,1388.5426750000
47,14788.5130830000,1381.7975150000
48,14900.9809910000,1375.4992020000
49,15009.2568520000,1369.6265290000
50,15113.4083220000,1364.1592380000
51,15213.5095460000,1359.0779820000
52,15309.6404620000,1354.3642920000
53,15401.8861250000,1350.0005320000
54,15490.3360450000,1345.9698770000
55,15575.0835430000,1342.2562690000
56,15656.2251350000,1338.8443910000
57,15733.8599430000,1335.7196340000
58,15808.0891320000,1332.8680700000
59,15879.0153860000,1330.2764180000
60,15946.7424060000,1327.9320210000
61,16011.3744560000,1325.8228160000
62,16073.0159300000,1323.9373130000
63,16131.7709630000,1322.2645630000
64,16187.7430700000,1320.7941400000
65,16241.0348260000,1319.5161170000
66,16291.7475710000,1318.4210400000
67,16339.9811540000,1317.4999120000
68,16385.8337010000,1316.7441690000
69,16429.4014200000,1316.1456630000
70,16470.7784230000,1315.6966380000
71,16510.0565890000,1315.3897200000
72,16547.3254360000,1315.2178920000
73,16582.6720260000,1315.1744800000
74,16616.1808870000,1315.2531410000
75,16647.9339560000,1315.4478400000
76,16678.0105370000,1315.7528420000
77,16706.4872790000,1316.1626940000
78,16733.4381620000,1316.6722130000
79,16758.9345060000,1317.2764740000
80,16783.0449820000,1317.9707950000
81,16805.8356350000,1318.7507280000
82,16827.3699220000,1319.6120480000
83,16847.7087520000,1320.5507380000
84,16866.9105300000,1321.5629850000
85,16885.0312180000,1322.6451630000
86,16902.1243850000,1323.7938320000
87,16918.2412770000,1325.0057210000
88,16933.4308740000,1326.2777240000
89,16947.7399650000,1327.6068930000
90,16961.2132120000,1328.9904270000
91,16973.8932230000,1330.4256640000
92,16985.8206230000,1331.9100800000
93,16997.0341210000,1333.4412750000
94,17007.5705890000,1335.0169700000
95,17017.4651260000,1336.6350040000
96,17026.7511290000,1338.2933210000
97,17035.4603650000,1339.9899710000
98,17043.6230350000,1341.7231020000
99,17051.2678420000,1343.4909540000
100,17058.4220550000,1345.2918590000
101,17065.1115730000,1347.1242290000
102,17071.3609830000,1348.9865600000
103,17077.1936250000,1350.8774190000
104,17082.6316420000,1352.7954510000
105,17087.6960430000,1354.7393630000
106,17092.4067510000,1356.7079320000
107,17096.7826570000,1358.6999950000
108,17100.8416690000,1360.7144450000
109,17104.6007590000,1362.7502330000
110,17108.0760120000,1364.8063620000
111,17111.2826650000,1366.8818860000
112,17114.2351540000,1368.9759030000
113,17116.9471490000,1371.0875600000
114,17119.4315970000,1373.2160430000
115,17121.7007560000,1375.3605810000
116,17123.7662330000,1377.5204400000
117,17125.6390120000,1379.6949220000
118,17127.3294940000,1381.8833650000
119,17128.8475180000,1384.0851390000
120,17130.2023990000,1386.2996450000
121,17131.4029490000,1388.5263120000
122,17132.4575070000,1390.7646000000
123,17133.3739600000,1393.0139930000
124,17134.1597730000,1395.2740010000
125,17134.8220050000,1397.5441570000
126,17135.3673350000,1399.8240180000
127,17135.8020780000,1402.1131610000
128,17136.1322090000,1404.4111840000
129,17136.3633790000,1406.7177050000
130,17136.5009320000,1409.0323590000
131,17136.5499200000,1411.3547980000
132,17136.5151250000,1413.6846930000
133,17136.4010640000,1416.0217280000
134,17136.2120130000,1418.3656030000
135,17135.9520110000,1420.7160310000
136,17135.6248820000,1423.0727390000
137,17135.2342390000,1425.4354660000
138,17134.7834980000,1427.8039650000
139,17134.2758910000,1430.1779990000
140,17133.7144740000,1432.5573400000
141,17133.1021340000,1434.9417720000
142,17132.4416040000,1437.3310900000
143,17131.7354670000,1439.7250950000
144,17130.9861660000,1442.1236000000
145,17130.1960100000,1444.5264230000
146,17129.3671840000,1446.9333930000
147,17128.5017520000,1449.3443440000
148,17127.6016680000,1451.7591180000
149,17126.6687800000,1454.1775630000
150,17125.7048330000,1456.5995360000
151,17124.7114800000,1459.0248960000
152,17123.6902840000,1461.4535100000
153,17122.6427220000,1463.8852510000
154,17121.5701920000,1466.3199960000
155,17120.4740150000,1468.7576260000
156,17119.3554430000,1471.1980290000
157,17118.2156590000,1473.6410960000
158,17117.0557810000,1476.0867220000
159,17115.8768680000,1478.5348060000
160,17114.6799220000,1480.9852520000
161,17113.4658910000,1483.4379650000
162,17112.2356720000,1485.8928560000
163,17110.9901130000,1488.3498380000
164,17109.7300170000,1490.8088270000
165,17108.4561440000,1493.2697430000
166,17107.1692150000,1495.7325060000
167,17105.8699090000,1498.1970420000
168,17104.5588710000,1500.6632770000
169,17103.2367130000,1503.1311400000
170,17101.9040110000,1505.6005630000
171,17100.5613140000,1508.0714800000
172,17099.2091390000,1510.5438260000
173,17097.8479770000,1513.0175390000
174,17096.4782930000,1515.4925580000
175,17095.1005280000,1517.9688230000
176,17093.7150990000,1520.4462780000
177,17092.3224010000,1522.9248680000
178,17090.9228100000,1525.4045360000
179,17089.5166810000,1527.8852320000
180,17088.1043500000,1530.3669020000
181,17086.6861380000,1532.8494970000
182,17085.2623460000,1535.3329680000
